date,y
2022-04-02 00:03,2346.03
2022-04-02 00:04,2341.39
2022-04-02 00:05,2195.67
2022-04-02 00:06,2045.01
2022-04-02 00:07,2036.71
2022-04-02 00:08,1986.12
2022-04-02 00:09,1978.78
2022-04-02 00:10,1932.38
2022-04-02 00:11,1938.45
2022-04-02 00:12,1872.94
2022-04-02 00:13,1837.49
2022-04-02 00:14,1737.45
2022-04-02 00:15,1710.02
2022-04-02 00:16,1729.92
2022-04-02 00:17,1745.65
2022-04-02 00:18,1755.61
2022-04-02 00:19,1729.89
2022-04-02 00:20,1729.27
2022-04-02 00:21,1785.94
2022-04-02 00:22,1754.19
2022-04-02 00:23,1718.14
2022-04-02 00:24,1674.56
2022-04-02 00:25,1680.43
2022-04-02 00:26,1714.38
2022-04-02 00:27,1738.12
2022-04-02 00:28,1737.35
2022-04-02 00:29,1758.02
2022-04-02 00:30,1763.35
2022-04-02 00:31,1930.39
2022-04-02 00:32,1914.43
2022-04-02 00:33,1860.16
2022-04-02 00:34,1788.73
2022-04-02 00:35,1750.49
2022-04-02 00:36,1693.84
2022-04-02 00:37,1703.89
2022-04-02 00:38,1796.65
2022-04-02 00:39,1795.33
2022-04-02 00:40,1711.13
2022-04-02 00:41,1736.07
2022-04-02 00:42,1749.75
2022-04-02 00:43,1776.36
2022-04-02 00:44,1780.22
2022-04-02 00:45,1814.66
2022-04-02 00:46,1880.74
2022-04-02 00:47,1894.01
2022-04-02 00:48,1880.52
2022-04-02 00:49,1875.39
2022-04-02 00:50,1834.1
2022-04-02 00:51,1866.45
2022-04-02 00:52,1911.71
2022-04-02 00:53,1911.71
2022-04-02 00:54,1858.55
2022-04-02 00:55,1895.73
2022-04-02 00:56,1928.37
2022-04-02 00:57,1963.98
2022-04-02 00:58,2015.18
2022-04-02 00:59,2102.95
2022-04-02 01:00,2202.05
2022-04-02 01:01,2607.58
2022-04-02 01:02,2625.49
2022-04-02 01:03,2530.57
2022-04-02 01:04,2407.44
2022-04-02 01:05,2374.93
2022-04-02 01:06,2235.8
2022-04-02 01:07,2193.77
2022-04-02 01:08,2130.0
2022-04-02 01:09,2104.07
2022-04-02 01:10,2098.57
2022-04-02 01:11,2121.54
2022-04-02 01:12,2152.78
2022-04-02 01:13,2091.66
2022-04-02 01:14,2110.28
2022-04-02 01:15,2133.99
2022-04-02 01:16,2274.72
2022-04-02 01:17,2290.82
2022-04-02 01:18,2237.58
2022-04-02 01:19,2204.41
2022-04-02 01:20,2185.0
2022-04-02 01:21,2207.38
2022-04-02 01:22,2172.12
2022-04-02 01:23,2168.74
2022-04-02 01:24,2216.41
2022-04-02 01:25,2213.62
2022-04-02 01:26,2216.23
2022-04-02 01:27,2252.38
2022-04-02 01:28,2268.9
2022-04-02 01:29,2294.77
2022-04-02 01:30,2470.2
2022-04-02 01:31,2683.96
2022-04-02 01:32,2756.02
2022-04-02 01:33,2766.43
2022-04-02 01:34,2640.55
2022-04-02 01:35,2596.32
2022-04-02 01:36,2552.64
2022-04-02 01:37,2612.18
2022-04-02 01:38,2610.21
2022-04-02 01:39,2597.51
2022-04-02 01:40,2594.5
2022-04-02 01:41,2612.66
2022-04-02 01:42,2608.82
2022-04-02 01:43,2581.74
2022-04-02 01:44,2586.99
2022-04-02 01:45,2669.11
2022-04-02 01:46,2771.46
2022-04-02 01:47,2799.83
2022-04-02 01:48,2758.49
2022-04-02 01:49,2745.49
2022-04-02 01:50,2762.97
2022-04-02 01:51,2798.25
2022-04-02 01:52,2876.13
2022-04-02 01:53,2882.64
2022-04-02 01:54,2900.4
2022-04-02 01:55,2950.77
2022-04-02 01:56,2986.11
2022-04-02 01:57,3076.1
2022-04-02 01:58,3141.79
2022-04-02 01:59,3176.71
2022-04-02 02:00,3317.28
2022-04-02 02:01,3644.03
2022-04-02 02:02,3659.15
