date,vm.VmStatistic.BlockStats.VmBlockStatistic.RdReq,vm.VmStatistic.BlockStats.VmBlockStatistic.WrReq,vm.VmStatistic.CpuStat.System,vm.VmStatistic.CpuStat.User,vm.VmStatistic.MemStat.GuestAvailable,vm.VmStatistic.NetStats.VmNetStatistic.RxBytes,vm.VmStatistic.NetStats.VmNetStatistic.TxBytes
2023-07-01 00:00:23,0.0,0.5599999999999999,29.973333333333336,75.82000000000001,33566261248.0,581039.3533333333,727729.4133333333
2023-07-01 00:05:23,0.0,0.36,0.0,115.65333333333334,33566261248.0,566458.17,715735.35
2023-07-01 00:10:23,0.0,0.41999999999999993,0.0,103.47999999999999,33566261248.0,552210.4866666667,698387.9033333333
2023-07-01 00:15:23,0.0,0.26999999999999996,0.0,102.72999999999999,33566261248.0,559135.5,700404.1966666667
2023-07-01 00:20:23,0.0,0.42000000000000004,16.506666666666668,84.90666666666667,33566261248.0,550137.0466666666,691778.6033333333
2023-07-01 00:25:23,0.0,0.48999999999999994,30.45,69.91666666666666,33566261248.0,537260.5033333333,680403.9299999999
2023-07-01 00:30:23,0.0,0.43999999999999995,30.119999999999997,68.70333333333333,33566261248.0,527379.0633333334,666976.55
2023-07-01 00:35:23,0.0,0.43666666666666665,29.836666666666666,68.27333333333334,33566261248.0,516407.0966666667,658849.1599999999
2023-07-01 00:40:23,0.0,0.49333333333333335,6.1866666666666665,89.74666666666666,33566261248.0,501759.05333333334,644559.1133333333
2023-07-01 00:45:23,0.0,0.5233333333333333,0.0,95.2,33566261248.0,498666.18666666665,642903.9433333334
2023-07-01 00:50:23,0.0,0.7433333333333334,0.0,93.95,33566261248.0,485639.7233333333,632759.5266666666
2023-07-01 00:55:23,0.0,0.57,0.0,92.45333333333333,33566261248.0,473624.5333333333,621667.2166666666
2023-07-01 01:00:23,0.0,0.5033333333333333,23.14,66.31,33566261248.0,458283.73,600629.1766666666
2023-07-01 01:05:23,0.0,0.41666666666666663,26.82,61.55333333333333,33566261248.0,446221.85,592546.2
2023-07-01 01:10:23,0.0,0.4966666666666666,26.193333333333335,59.95333333333333,33566261248.0,429276.89333333337,570556.5233333333
2023-07-01 01:15:23,0.0,0.45999999999999996,25.816666666666663,59.48,33566261248.0,423350.14,561570.5166666667
2023-07-01 01:20:23,0.0,0.35,11.896666666666667,73.75,33566261248.0,415239.35333333333,553234.3066666666
2023-07-01 01:25:23,0.0,0.3366666666666666,0.0,84.24,33566261248.0,406103.4,546273.4400000001
2023-07-01 01:30:23,0.0,0.3333333333333333,0.0,82.12666666666667,33566261248.0,400457.6566666666,539234.8633333334
2023-07-01 01:35:23,0.0,0.41999999999999993,0.0,81.58666666666667,33566261248.0,395159.13666666666,534552.4633333333
2023-07-01 01:40:23,0.0,0.36,1.7666666666666668,78.44,33566261248.0,385884.7866666667,525459.3899999999
2023-07-01 01:45:23,0.0,0.3933333333333333,24.07333333333333,54.99666666666667,33566261248.0,373590.04333333333,513444.13
2023-07-01 01:50:23,0.0,0.45666666666666667,23.513333333333332,53.79666666666667,33566261248.0,367210.81666666665,502435.8466666667
2023-07-01 01:55:23,0.0,0.38,23.193333333333335,53.163333333333334,33566261248.0,357929.07333333336,488867.52
2023-07-01 02:00:23,0.0,0.4333333333333333,22.55,51.70333333333333,33566261248.0,343807.44,475304.1366666666
2023-07-01 02:05:23,0.0,0.31999999999999995,20.003333333333334,53.80333333333333,33566261248.0,339710.0366666667,471059.80666666664
2023-07-01 02:10:23,0.0,0.39999999999999997,0.0,74.0,33566261248.0,342880.5266666667,473327.0966666667
2023-07-01 02:15:23,0.0,0.3966666666666666,0.0,73.4,33566261248.0,341465.69666666666,470480.7766666667
2023-07-01 02:20:23,0.0,0.41666666666666663,0.0,73.08333333333334,33566261248.0,334371.7166666667,462680.62
2023-07-01 02:25:23,0.0,0.43,0.0,71.78666666666666,33566261248.0,325922.48,456375.89666666667
2023-07-01 02:30:23,0.0,0.3966666666666666,0.5599999999999999,70.83,33566261248.0,320331.39666666667,449985.63999999996
2023-07-01 02:35:23,0.0,0.4166666666666667,21.32,49.38,33566261248.0,313509.99,441310.79000000004
2023-07-01 02:40:23,0.0,0.3833333333333333,20.97,48.65333333333333,33566261248.0,300266.82,426999.25999999995
2023-07-01 02:45:23,0.0,0.33999999999999997,20.68,47.54,33566261248.0,300292.4533333333,428735.7233333333
2023-07-01 02:50:23,0.0,0.44333333333333336,20.35,46.92333333333333,33566261248.0,293685.6933333333,420738.74333333335
2023-07-01 02:55:23,0.0,0.3333333333333333,19.759999999999998,46.61333333333333,33566261248.0,286401.35666666663,413522.6166666667
2023-07-01 03:00:23,0.0,0.4966666666666666,10.786666666666665,54.483333333333334,33566261248.0,277839.63666666666,403931.62666666665
2023-07-01 03:05:23,0.0,0.37,0.0,64.53333333333333,33566261248.0,273289.7033333333,398685.82
2023-07-01 03:10:23,0.0,0.35666666666666663,0.0,64.66666666666666,33566261248.0,274031.88,399728.66333333333
2023-07-01 03:15:23,0.0,0.36333333333333334,0.0,64.21333333333334,33566261248.0,273094.1566666666,398040.22000000003
2023-07-01 03:20:23,0.0,0.3,0.0,63.78666666666667,33566261248.0,268171.2766666667,392309.58999999997
2023-07-01 03:25:23,0.0,0.31333333333333335,0.0,66.45333333333333,33566261248.0,262531.89,386833.61
2023-07-01 03:30:23,0.0,1.1700000000000002,14.943333333333333,50.17333333333333,33566261248.0,255568.05,377856.48
2023-07-01 03:35:23,0.0,0.24333333333333332,19.60333333333333,43.946666666666665,33566261248.0,254736.88999999998,375604.7133333333
